states,sales_in_million,income_one,income_two,income_three,income_four
New York,10355.48,63548.00,80784.00,96854.00,117706.00
Florida,9324.63,55681.00,69884.00,75057.00,89206.00
California,8865.75,65895.00,87355.00,97092.00,111535.00
Texas,8296.89,55441.00,74636.00,80733.00,93386.00
Massachusetts,5853.59,75077.00,96358.00,117415.00,148713.00
Ohio,5628.99,54877.00,70209.00,82734.00,100693.00
Georgia,5553.12,55600.00,71504.00,79980.00,96622.00
Pennsylvania,5121.29,60640.00,74805.00,92441.00,110077.00
Michigan,4896.85,56343.00,70163.00,84245.00,103838.00
Maryland,4684.19,75214.00,98840.00,113994.00,138054.00
North Carolina,3887.10,53687.00,70000.00,76386.00,94269.00
New Jersey,3634.15,75321.00,92669.00,117697.00,140657.00
Illinois,3396.28,61456.00,81190.00,97067.00,113649.00
Virginia,3002.40,67918.00,86805.00,102869.00,121793.00
South Carolina,2253.56,52348.00,67922.00,75128.00,90331.00
Tennessee,2027.34,53188.00,66989.00,75394.00,91069.00
Missouri,1779.95,53547.00,69614.00,80022.00,94774.00
Indiana,1702.86,54785.00,69505.00,81783.00,96083.00
Oregon,1675.35,64975.00,77773.00,93773.00,106554.00
Kentucky,1480.43,51978.00,61790.00,71501.00,86508.00
Connecticut,1462.81,72497.00,94528.00,108409.00,137128.00
West Virginia,1382.74,53244.00,58126.00,71757.00,78008.00
Arizona,1368.37,58462.00,73262.00,79110.00,89741.00
Rhode Island,944.53,67541.00,84570.00,101104.00,114580.00
Washington,907.69,74398.00,90292.00,104644.00,118901.00
Wisconsin,887.82,57934.00,76493.00,92586.00,109919.00
Colorado,826.88,70952.00,92321.00,100744.00,120898.00
Minnesota,740.16,65514.00,86358.00,106445.00,125753.00
Delaware,736.00,65072.00,82516.00,96841.00,113626.00
Louisiana,582.93,49719.00,61042.00,71371.00,87472.00
Arkansas,579.56,48882.00,61212.00,70169.00,71383.00
New Hampshire,556.42,75432.00,87260.00,113013.00,135833.00
Mississippi,432.86,47446.00,57148.00,61205.00,74888.00
Iowa,432.66,54155.00,75139.00,85758.00,100901.00
South Dakota,400.70,54821.00,74820.00,87475.00,96399.00
Maine,385.80,57955.00,72988.00,87051.00,97141.00
Idaho,376.31,54942.00,68818.00,76635.00,95031.00
Oklahoma,350.34,51435.00,66786.00,71397.00,83157.00
Kansas,312.99,55069.00,75845.00,88369.00,98454.00
District of Columbia,207.28,74266.00,138342.00,138342.00,182068.00
Nebraska,202.27,53892.00,75719.00,91076.00,102544.00
Vermont,151.48,58728.00,78009.00,92628.00,117750.00
New Mexico,136.87,49757.00,60728.00,66183.00,70316.00
Montana,77.78,57448.00,71836.00,79652.00,86867.00
North Dakota,29.18,58318.00,82635.00,94950.00,110225.00
Wyoming,27.41,60510.00,76143.00,88902.00,106003.00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,