state,count
Indiana,39
Missouri,31
Minnesota,22
Pennsylvania,19
Wisconsin,19
Kentucky,18
Louisiana,17
Florida,16
Arizona,14
California,14
Kansas,12
New York,12
New Hampshire,11
New Jersey,11
"Washington, D.C.",11
Delaware,10
Nebraska,10
Connecticut,9
Iowa,9
West Virginia,9
Rhode Island,8
Tennessee,7
Georgia,6
Massachusetts,6
Michigan,6
North Carolina,6
South Carolina,6
Idaho,5
New Mexico,5
Oregon,5
Montana,4
Ohio,4
Oklahoma,4
Colorado,3
Maryland,3
South Dakota,3
Illinois,2
Puerto Rico,2
Texas,2
Virginia,2
Washington,2
Arkansas,1
Vermont,1
Maine,0
Mississippi,0
North Dakota,0
U.S. Virgin Islands,0
Wyoming,0